,date,cases,deaths
177,7/27/2020,9087,149
178,7/28/2020,8799,129
179,7/29/2020,7812,157
180,7/30/2020,7239,147
181,7/31/2020,7215,148
182,8/1/2020,5387,137
183,8/2/2020,3572,136
184,8/3/2020,7557,178
185,8/4/2020,7226,161
186,8/5/2020,6704,149
187,8/6/2020,6258,118
188,8/7/2020,6447,135
189,8/8/2020,4294,133
190,8/9/2020,3178,127
191,8/10/2020,7088,141
192,8/11/2020,6208,155
193,8/12/2020,5960,112
194,8/13/2020,5156,120
195,8/14/2020,5212,122
196,8/15/2020,3665,126
197,8/16/2020,2684,131
198,8/17/2020,5772,117
199,8/18/2020,5266,121
200,8/19/2020,4678,137
201,8/20/2020,4671,108
202,8/21/2020,4404,119
203,8/22/2020,3115,120
204,8/23/2020,2569,106
205,8/24/2020,5459,108
206,8/25/2020,4915,108
207,8/26/2020,4607,98
208,8/27/2020,3982,117
209,8/28/2020,3937,86
210,8/29/2020,2627,118
211,8/30/2020,2254,111
212,8/31/2020,4343,87
213,9/1/2020,4595,100
214,9/2/2020,4043,82
215,9/3/2020,3676,81
216,9/4/2020,3456,87
217,9/5/2020,2266,86
218,9/6/2020,1979,81
219,9/7/2020,2337,73
220,9/8/2020,4255,81
221,9/9/2020,3615,85
222,9/10/2020,3227,73
223,9/11/2020,3372,77
224,9/12/2020,2345,75
225,9/13/2020,2041,70
226,9/14/2020,4180,78
227,9/15/2020,3760,85
228,9/16/2020,3802,62
229,9/17/2020,3305,73
230,9/18/2020,3452,57
231,9/19/2020,2484,72
232,9/20/2020,2165,71
233,9/21/2020,4087,57
234,9/22/2020,3702,68
235,9/23/2020,3770,66
236,9/24/2020,3349,71
237,9/25/2020,3493,56
238,9/26/2020,2364,74
239,9/27/2020,2071,58
240,9/28/2020,4067,55
241,9/29/2020,3796,54
242,9/30/2020,3720,40
243,10/1/2020,3712,58
244,10/2/2020,3348,58
245,10/3/2020,2668,49
246,10/4/2020,2225,69
247,10/5/2020,4304,56
248,10/6/2020,3737,50
249,10/7/2020,3723,56
250,10/8/2020,3771,55
251,10/9/2020,3555,49
252,10/10/2020,3011,50
253,10/11/2020,2222,47
254,10/12/2020,4330,42
255,10/13/2020,3853,49
256,10/14/2020,3822,46
257,10/15/2020,3912,41
258,10/16/2020,3816,42
259,10/17/2020,2959,35
260,10/18/2020,2548,35
261,10/19/2020,5029,55
262,10/20/2020,4657,43
263,10/21/2020,4425,42
264,10/22/2020,4174,42
265,10/23/2020,4557,52
266,10/24/2020,3251,48
267,10/25/2020,2904,46
268,10/26/2020,5480,41
269,10/27/2020,4836,52
270,10/28/2020,4915,40
271,10/29/2020,4869,56
272,10/30/2020,5532,38
273,10/31/2020,4458,50
274,11/1/2020,4979,59
275,11/2/2020,8472,56
276,11/3/2020,8266,37
277,11/4/2020,8460,49
278,11/5/2020,8147,41
279,11/6/2020,8528,55
280,11/7/2020,6418,46
281,11/8/2020,5534,56
282,11/9/2020,11109,44
283,11/10/2020,10921,59
284,11/11/2020,10624,58
285,11/12/2020,11570,74
286,11/13/2020,12471,81
287,11/14/2020,9903,73
288,11/15/2020,9136,80
