date,deaths,cases,total_doses,cumulative_total_doses
7/27/2020,149,9087,5,6
7/28/2020,129,8799,6,12
7/29/2020,157,7812,9,21
7/30/2020,147,7239,13,34
7/31/2020,148,7215,6,40
8/1/2020,137,5387,15,55
8/2/2020,136,3572,5,60
8/3/2020,178,7557,16,76
8/4/2020,161,7226,20,96
8/5/2020,149,6704,19,115
8/6/2020,118,6258,19,134
8/7/2020,135,6447,15,149
8/8/2020,133,4294,6,155
8/9/2020,127,3178,4,159
8/10/2020,141,7088,35,194
8/11/2020,155,6208,31,225
8/12/2020,112,5960,33,258
8/13/2020,120,5156,37,295
8/14/2020,122,5212,26,321
8/15/2020,126,3665,3,324
8/16/2020,131,2684,4,328
8/17/2020,117,5772,36,364
8/18/2020,121,5266,24,388
8/19/2020,137,4678,40,428
8/20/2020,108,4671,47,475
8/21/2020,119,4404,49,524
8/22/2020,120,3115,16,540
8/23/2020,106,2569,10,550
8/24/2020,108,5459,50,600
8/25/2020,108,4915,51,651
8/26/2020,98,4607,72,723
8/27/2020,117,3982,68,791
8/28/2020,86,3937,70,861
8/29/2020,118,2627,15,876
8/30/2020,111,2254,6,882
8/31/2020,87,4343,101,983
9/1/2020,100,4595,124,1107
9/2/2020,82,4043,77,1184
9/3/2020,81,3676,74,1258
9/4/2020,87,3456,81,1339
9/5/2020,86,2266,15,1354
9/6/2020,81,1979,2,1356
9/7/2020,73,2337,7,1363
9/8/2020,81,4255,112,1475
9/9/2020,85,3615,103,1578
9/10/2020,73,3227,84,1662
9/11/2020,77,3372,82,1744
9/12/2020,75,2345,29,1773
9/13/2020,70,2041,11,1784
9/14/2020,78,4180,87,1871
9/15/2020,85,3760,83,1954
9/16/2020,62,3802,73,2027
9/17/2020,73,3305,71,2098
9/18/2020,57,3452,78,2176
9/19/2020,72,2484,20,2196
9/20/2020,71,2165,9,2205
9/21/2020,57,4087,104,2309
9/22/2020,68,3702,93,2402
9/23/2020,66,3770,105,2507
9/24/2020,71,3349,67,2574
9/25/2020,56,3493,77,2651
9/26/2020,74,2364,12,2663
9/27/2020,58,2071,2,2665
9/28/2020,55,4067,61,2726
9/29/2020,54,3796,55,2781
9/30/2020,40,3720,59,2840
10/1/2020,58,3712,63,2903
10/2/2020,58,3348,31,2934
10/3/2020,49,2668,17,2951
10/4/2020,69,2225,2,2953
10/5/2020,56,4304,29,2982
10/6/2020,50,3737,37,3019
10/7/2020,56,3723,47,3066
10/8/2020,55,3771,43,3109
10/9/2020,49,3555,43,3152
10/10/2020,50,3011,22,3174
10/11/2020,47,2222,6,3180
10/12/2020,42,4330,45,3225
10/13/2020,49,3853,36,3261
