,date,total_doses,cumulative_total_doses
1,7/27/2020,5,6
2,7/28/2020,6,12
3,7/29/2020,9,21
4,7/30/2020,13,34
5,7/31/2020,6,40
6,8/1/2020,15,55
7,8/2/2020,5,60
8,8/3/2020,16,76
9,8/4/2020,20,96
10,8/5/2020,19,115
11,8/6/2020,19,134
12,8/7/2020,15,149
13,8/8/2020,6,155
14,8/9/2020,4,159
15,8/10/2020,35,194
16,8/11/2020,31,225
17,8/12/2020,33,258
18,8/13/2020,37,295
19,8/14/2020,26,321
20,8/15/2020,3,324
21,8/16/2020,4,328
22,8/17/2020,36,364
23,8/18/2020,24,388
24,8/19/2020,40,428
25,8/20/2020,47,475
26,8/21/2020,49,524
27,8/22/2020,16,540
28,8/23/2020,10,550
29,8/24/2020,50,600
30,8/25/2020,51,651
31,8/26/2020,72,723
32,8/27/2020,68,791
33,8/28/2020,70,861
34,8/29/2020,15,876
35,8/30/2020,6,882
36,8/31/2020,101,983
37,9/1/2020,124,1107
38,9/2/2020,77,1184
39,9/3/2020,74,1258
40,9/4/2020,81,1339
41,9/5/2020,15,1354
42,9/6/2020,2,1356
43,9/7/2020,7,1363
44,9/8/2020,112,1475
45,9/9/2020,103,1578
46,9/10/2020,84,1662
47,9/11/2020,82,1744
48,9/12/2020,29,1773
49,9/13/2020,11,1784
50,9/14/2020,87,1871
51,9/15/2020,83,1954
52,9/16/2020,73,2027
53,9/17/2020,71,2098
54,9/18/2020,78,2176
55,9/19/2020,20,2196
56,9/20/2020,9,2205
57,9/21/2020,104,2309
58,9/22/2020,93,2402
59,9/23/2020,105,2507
60,9/24/2020,67,2574
61,9/25/2020,77,2651
62,9/26/2020,12,2663
63,9/27/2020,2,2665
64,9/28/2020,61,2726
65,9/29/2020,55,2781
66,9/30/2020,59,2840
67,10/1/2020,63,2903
68,10/2/2020,31,2934
69,10/3/2020,17,2951
70,10/4/2020,2,2953
71,10/5/2020,29,2982
72,10/6/2020,37,3019
73,10/7/2020,47,3066
74,10/8/2020,43,3109
75,10/9/2020,43,3152
76,10/10/2020,22,3174
77,10/11/2020,6,3180
78,10/12/2020,45,3225
79,10/13/2020,36,3261
80,10/14/2020,39,3300
81,10/15/2020,35,3335
82,10/16/2020,35,3370
83,10/17/2020,10,3380
84,10/18/2020,7,3387
85,10/19/2020,36,3423
86,10/20/2020,23,3446
87,10/21/2020,42,3488
88,10/22/2020,22,3510
89,10/23/2020,29,3539
90,10/24/2020,15,3554
91,10/25/2020,7,3561
92,10/26/2020,25,3586
93,10/27/2020,24,3610
94,10/28/2020,16,3626
95,10/29/2020,16,3642
96,10/30/2020,20,3662
97,10/31/2020,11,3673
98,11/1/2020,47,3720
99,11/2/2020,33,3753
100,11/3/2020,17,3770
101,11/4/2020,31,3801
102,11/5/2020,74,3875
103,11/6/2020,8,3883
104,11/7/2020,4,3887
105,11/8/2020,6,3893
106,11/9/2020,19,3912
107,11/10/2020,32,3944
108,11/11/2020,51,3995
109,11/12/2020,28,4023
110,11/13/2020,45,4068
111,11/14/2020,21,4089
112,11/15/2020,23,4112
113,11/16/2020,41,4153
114,11/17/2020,39,4192
115,11/18/2020,42,4234
116,11/19/2020,33,4267
117,11/20/2020,55,4322
118,11/21/2020,10,4332
119,11/22/2020,28,4360
120,11/23/2020,37,4397
121,11/24/2020,38,4435
122,11/25/2020,19,4454
123,11/26/2020,9,4463
124,11/27/2020,18,4481
125,11/28/2020,19,4500
126,11/29/2020,7,4507
127,11/30/2020,41,4548
128,12/1/2020,474,5022
129,12/2/2020,127,5149
130,12/3/2020,136,5285
131,12/4/2020,72,5357
132,12/5/2020,49,5406
133,12/6/2020,41,5447
134,12/7/2020,112,5559
135,12/8/2020,121,5680
136,12/9/2020,59,5739
137,12/10/2020,83,5822
138,12/11/2020,104,5926
139,12/12/2020,83,6009
140,12/13/2020,73,6082
141,12/14/2020,121,6203
142,12/15/2020,1428,7631
143,12/16/2020,9593,17224
144,12/17/2020,29107,46331
145,12/18/2020,48621,94952
146,12/19/2020,26780,121732
147,12/20/2020,20033,141765
148,12/21/2020,52571,194336
149,12/22/2020,53029,247365
150,12/23/2020,53653,301018
151,12/24/2020,25177,326195
152,12/25/2020,2458,328653
