,date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests
4960,2/1/2020,California,State,40129160,24,24,0,0,304,304,9,9,3,3,0,0,
4961,2/2/2020,California,State,40129160,9,33,0,0,36,340,2,11,3,6,0,0,
4962,2/3/2020,California,State,40129160,7,40,0,0,29,369,1,12,0,6,0,0,
4963,2/4/2020,California,State,40129160,1,41,0,0,32,401,1,13,0,6,0,0,
4964,2/5/2020,California,State,40129160,3,44,0,0,45,446,1,14,0,6,0,0,
4965,2/6/2020,California,State,40129160,6,50,1,1,12,458,1,15,0,6,0,0,
4966,2/7/2020,California,State,40129160,32,82,0,1,453,911,62,77,0,6,0,0,
4967,2/8/2020,California,State,40129160,7,89,0,1,59,970,2,79,0,6,0,0,
4968,2/9/2020,California,State,40129160,5,94,0,1,21,991,1,80,0,6,0,0,
4969,2/10/2020,California,State,40129160,6,100,0,1,16,1007,1,81,0,6,0,0,
4970,2/11/2020,California,State,40129160,4,104,0,1,40,1047,0,81,1,7,0,0,
4971,2/12/2020,California,State,40129160,3,107,0,1,3,1050,0,81,1,8,0,0,
4972,2/13/2020,California,State,40129160,2,109,0,1,10,1060,0,81,0,8,0,0,
4973,2/14/2020,California,State,40129160,9,118,0,1,21,1081,0,81,0,8,0,0,
4974,2/15/2020,California,State,40129160,14,132,0,1,43,1124,1,82,0,8,0,0,
4975,2/16/2020,California,State,40129160,7,139,0,1,64,1188,2,84,0,8,0,0,
4976,2/17/2020,California,State,40129160,13,152,1,2,85,1273,0,84,5,13,0,0,
4977,2/18/2020,California,State,40129160,10,162,0,2,17,1290,1,85,2,15,0,0,
4978,2/19/2020,California,State,40129160,12,174,0,2,10,1300,0,85,0,15,0,0,
4979,2/20/2020,California,State,40129160,20,194,0,2,26,1326,2,87,2,17,0,0,
4980,2/21/2020,California,State,40129160,20,214,1,3,19,1345,2,89,4,21,0,0,
4981,2/22/2020,California,State,40129160,17,231,0,3,27,1372,0,89,0,21,0,0,
4982,2/23/2020,California,State,40129160,19,250,0,3,37,1409,3,92,4,25,0,0,
4983,2/24/2020,California,State,40129160,39,289,0,3,20,1429,3,95,0,25,0,0,
4984,2/25/2020,California,State,40129160,25,314,0,3,12,1441,1,96,6,31,0,0,
4985,2/26/2020,California,State,40129160,39,353,0,3,24,1465,3,99,2,33,0,0,
4986,2/27/2020,California,State,40129160,26,379,0,3,78,1543,9,108,0,33,0,0,
4987,2/28/2020,California,State,40129160,49,428,0,3,121,1664,17,125,1,34,0,0,
4988,2/29/2020,California,State,40129160,41,469,0,3,89,1753,16,141,0,34,0,0,
4989,3/1/2020,California,State,40129160,100,569,0,3,79,1832,4,145,5,39,0,0,
4990,3/2/2020,California,State,40129160,76,645,0,3,177,2009,33,178,4,43,0,0,
4991,3/3/2020,California,State,40129160,85,730,0,3,142,2151,25,203,10,53,0,0,
4992,3/4/2020,California,State,40129160,95,825,1,4,237,2388,39,242,7,60,1,1,
4993,3/5/2020,California,State,40129160,111,936,0,4,367,2755,36,278,9,69,0,1,
4994,3/6/2020,California,State,40129160,159,1095,1,5,411,3166,31,309,19,88,0,1,
4995,3/7/2020,California,State,40129160,164,1259,0,5,506,3672,76,385,26,114,0,1,
4996,3/8/2020,California,State,40129160,181,1440,0,5,321,3993,51,436,19,133,0,1,
4997,3/9/2020,California,State,40129160,332,1772,3,8,1028,5021,130,566,24,157,1,2,
4998,3/10/2020,California,State,40129160,358,2130,0,8,1186,6207,124,690,20,177,1,3,
4999,3/11/2020,California,State,40129160,427,2557,1,9,1859,8066,170,860,21,198,0,3,
5000,3/12/2020,California,State,40129160,510,3067,0,9,3459,11525,238,1098,49,247,1,4,
5001,3/13/2020,California,State,40129160,583,3650,1,10,4467,15992,332,1430,41,288,-1,3,
5002,3/14/2020,California,State,40129160,513,4163,1,11,2782,18774,312,1742,47,335,1,4,
5003,3/15/2020,California,State,40129160,602,4765,2,13,2765,21539,255,1997,57,392,1,5,
5004,3/16/2020,California,State,40129160,882,5647,5,18,7762,29301,579,2576,80,472,0,5,
5005,3/17/2020,California,State,40129160,837,6484,6,24,8942,38243,653,3229,38,510,2,7,
5006,3/18/2020,California,State,40129160,779,7263,0,24,8925,47168,616,3845,165,675,8,15,
5007,3/19/2020,California,State,40129160,787,8050,7,31,9026,56194,663,4508,331,1006,3,18,
5008,3/20/2020,California,State,40129160,965,9015,7,38,10034,66228,769,5277,218,1224,6,24,
5009,3/21/2020,California,State,40129160,692,9707,10,48,5084,71312,478,5755,244,1468,2,26,
5010,3/22/2020,California,State,40129160,763,10470,14,62,4641,75953,608,6363,265,1733,9,35,
5011,3/23/2020,California,State,40129160,1041,11511,17,79,12580,88533,1212,7575,222,1955,2,37,
5012,3/24/2020,California,State,40129160,849,12360,18,97,11936,100469,1205,8780,580,2535,11,48,
5013,3/25/2020,California,State,40129160,1044,13404,20,117,11725,112194,1207,9987,471,3006,16,64,
5014,3/26/2020,California,State,40129160,972,14376,15,132,11779,123973,1184,11171,795,3801,14,78,
5015,3/27/2020,California,State,40129160,1003,15379,22,154,12570,136543,1317,12488,842,4643,23,101,
5016,3/28/2020,California,State,40129160,934,16313,26,180,7997,144540,1037,13525,5923,10566,134,235,
5017,3/29/2020,California,State,40129160,824,17137,25,205,5241,149781,698,14223,-4803,5763,-100,135,
5018,3/30/2020,California,State,40129160,1380,18517,27,232,13957,163738,1610,15833,1169,6932,15,150,
5019,3/31/2020,California,State,40129160,1261,19778,41,273,13743,177481,1554,17387,1223,8155,21,171,
5020,4/1/2020,California,State,40129160,1503,21281,41,314,14972,192453,1762,19149,1036,9191,32,203,
5021,4/2/2020,California,State,40129160,1371,22652,54,368,15105,207558,1695,20844,1510,10701,34,237,
