,county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,booster_recip_count,cumulative_booster_recip_count,booster_eligible_population
66,All CA Counties,2020-01-05,1,1,1,1,0,0,0,0,1,1,0,0,1,1,,0,0,28671193
67,All CA Counties,2020-07-27,5,6,2,3,3,3,0,0,5,6,0,0,5,6,,0,0,28671193
68,All CA Counties,2020-07-28,6,12,1,4,5,8,0,0,6,12,0,0,6,12,,0,0,28671193
69,All CA Counties,2020-07-29,9,21,0,4,9,17,0,0,9,21,0,0,9,21,,0,0,28671193
70,All CA Counties,2020-07-30,13,34,5,9,8,25,0,0,13,34,0,0,13,34,,0,0,28671193
71,All CA Counties,2020-07-31,6,40,2,11,4,29,0,0,6,40,0,0,6,40,,0,0,28671193
72,All CA Counties,2020-08-01,15,55,6,17,9,38,0,0,15,55,0,0,15,55,,0,0,28671193
73,All CA Counties,2020-08-02,5,60,3,20,2,40,0,0,5,60,0,0,5,60,,0,0,28671193
74,All CA Counties,2020-08-03,16,76,1,21,15,55,0,0,16,76,0,0,16,76,,0,0,28671193
75,All CA Counties,2020-08-04,20,96,6,27,14,69,0,0,20,96,0,0,20,96,,0,0,28671193
76,All CA Counties,2020-08-05,19,115,6,33,13,82,0,0,19,115,0,0,19,115,,0,0,28671193
77,All CA Counties,2020-08-06,19,134,6,39,13,95,0,0,19,134,0,0,19,134,,0,0,28671193
78,All CA Counties,2020-08-07,15,149,5,44,10,105,0,0,15,149,0,0,15,149,,0,0,28671193
79,All CA Counties,2020-08-08,6,155,4,48,2,107,0,0,6,155,0,0,6,155,,0,0,28671193
80,All CA Counties,2020-08-09,4,159,1,49,3,110,0,0,4,159,0,0,4,159,,0,0,28671193
81,All CA Counties,2020-08-10,35,194,17,66,18,128,0,0,34,193,0,0,34,193,,0,0,28671193
82,All CA Counties,2020-08-11,31,225,13,79,18,146,0,0,31,224,0,0,31,224,,0,0,28671193
83,All CA Counties,2020-08-12,33,258,23,102,10,156,0,0,33,257,0,0,33,257,,0,0,28671193
84,All CA Counties,2020-08-13,37,295,18,120,19,175,0,0,37,294,0,0,37,294,,0,0,28671193
85,All CA Counties,2020-08-14,26,321,9,129,17,192,0,0,26,320,0,0,26,320,,0,0,28671193
86,All CA Counties,2020-08-15,3,324,2,131,1,193,0,0,3,323,0,0,3,323,,0,0,28671193
87,All CA Counties,2020-08-16,4,328,4,135,0,193,0,0,4,327,0,0,4,327,,0,0,28671193
88,All CA Counties,2020-08-17,36,364,19,154,17,210,0,0,36,363,0,0,36,363,,0,0,28671193
89,All CA Counties,2020-08-18,24,388,12,166,12,222,0,0,24,387,0,0,24,387,,0,0,28671193
90,All CA Counties,2020-08-19,40,428,26,192,14,236,0,0,39,425,1,1,39,426,,0,0,28671193
91,All CA Counties,2020-08-20,47,475,31,223,16,252,0,0,47,472,0,1,47,473,,0,0,28671193
92,All CA Counties,2020-08-21,49,524,25,248,24,276,0,0,47,518,1,2,47,520,,0,0,28671193
93,All CA Counties,2020-08-22,16,540,11,259,5,281,0,0,16,534,0,2,16,536,,0,0,28671193
94,All CA Counties,2020-08-23,10,550,8,267,2,283,0,0,8,540,2,4,8,544,,0,0,28671193
95,All CA Counties,2020-08-24,50,600,32,299,18,301,0,0,47,584,3,7,47,591,,0,0,28671193
96,All CA Counties,2020-08-25,51,651,36,335,15,316,0,0,47,627,4,11,47,638,,0,0,28671193
97,All CA Counties,2020-08-26,72,723,45,380,27,343,0,0,62,679,10,21,62,700,,0,0,28671193
98,All CA Counties,2020-08-27,68,791,49,429,19,362,0,0,58,727,10,31,58,758,,0,0,28671193
99,All CA Counties,2020-08-28,70,861,44,473,26,388,0,0,57,771,13,44,57,815,,0,0,28671193
100,All CA Counties,2020-08-29,15,876,8,481,7,395,0,0,14,784,1,45,14,829,,0,0,28671193
101,All CA Counties,2020-08-30,6,882,5,486,1,396,0,0,5,788,1,46,5,834,,0,0,28671193
102,All CA Counties,2020-08-31,101,983,69,555,32,428,0,0,77,842,23,69,77,911,,0,0,28671193
103,All CA Counties,2020-09-01,124,1107,87,642,37,465,0,0,91,901,32,101,91,1002,,0,0,28671193
104,All CA Counties,2020-09-02,77,1184,60,702,17,482,0,0,55,934,22,123,55,1057,,0,0,28671193
105,All CA Counties,2020-09-03,74,1258,50,752,24,506,0,0,64,988,10,133,64,1121,,0,0,28671193
106,All CA Counties,2020-09-04,81,1339,61,813,20,526,0,0,55,1017,26,159,55,1176,,0,0,28671193
107,All CA Counties,2020-09-05,15,1354,2,815,13,539,0,0,15,1032,0,159,15,1191,,0,0,28671193
108,All CA Counties,2020-09-06,2,1356,2,817,0,539,0,0,2,1034,0,159,2,1193,,0,0,28671193
109,All CA Counties,2020-09-07,7,1363,3,820,4,543,0,0,5,1037,2,161,5,1198,,0,0,28671193
110,All CA Counties,2020-09-08,112,1475,64,884,48,591,0,0,58,1042,53,214,58,1256,,0,0,28671193
111,All CA Counties,2020-09-09,103,1578,78,962,25,616,0,0,53,1045,50,264,53,1309,,0,0,28671193
112,All CA Counties,2020-09-10,84,1662,56,1018,28,644,0,0,46,1053,38,302,46,1355,,0,0,28671193
113,All CA Counties,2020-09-11,82,1744,60,1078,22,666,0,0,50,1071,32,334,50,1405,,0,0,28671193
114,All CA Counties,2020-09-12,29,1773,17,1095,12,678,0,0,18,1078,11,345,18,1423,,0,0,28671193
115,All CA Counties,2020-09-13,11,1784,11,1106,0,678,0,0,4,1075,7,352,4,1427,,0,0,28671193
116,All CA Counties,2020-09-14,87,1871,57,1163,30,708,0,0,21,1031,65,417,21,1448,,0,0,28671193
117,All CA Counties,2020-09-15,83,1954,58,1221,25,733,0,0,28,1004,55,472,28,1476,,0,0,28671193
118,All CA Counties,2020-09-16,73,2027,54,1275,19,752,0,0,31,993,42,514,31,1507,,0,0,28671193
119,All CA Counties,2020-09-17,71,2098,41,1316,30,782,0,0,30,983,40,554,30,1537,,0,0,28671193
120,All CA Counties,2020-09-18,78,2176,56,1372,22,804,0,0,30,966,47,601,30,1567,,0,0,28671193
121,All CA Counties,2020-09-19,20,2196,17,1389,3,807,0,0,11,968,9,610,11,1578,,0,0,28671193
122,All CA Counties,2020-09-20,9,2205,8,1397,1,808,0,0,6,971,3,613,6,1584,,0,0,28671193
123,All CA Counties,2020-09-21,104,2309,80,1477,24,832,0,0,29,925,75,688,29,1613,,0,0,28671193
124,All CA Counties,2020-09-22,93,2402,67,1544,26,858,0,0,32,896,61,749,32,1645,,0,0,28671193
125,All CA Counties,2020-09-23,105,2507,82,1626,21,879,2,2,33,859,72,821,35,1680,,0,0,28671193
126,All CA Counties,2020-09-24,67,2574,58,1684,9,888,0,2,17,828,48,869,17,1697,,0,0,28671193
127,All CA Counties,2020-09-25,77,2651,52,1736,25,913,0,2,20,791,57,926,20,1717,,0,0,28671193
128,All CA Counties,2020-09-26,12,2663,7,1743,5,918,0,2,4,787,8,934,4,1721,,0,0,28671193
129,All CA Counties,2020-09-27,2,2665,2,1745,0,918,0,2,2,789,0,934,2,1723,,0,0,28671193
130,All CA Counties,2020-09-28,61,2726,31,1776,30,948,0,2,6,740,55,989,6,1729,,0,0,28671193
131,All CA Counties,2020-09-29,55,2781,39,1815,14,962,2,4,6,699,49,1038,8,1737,,0,0,28671193
132,All CA Counties,2020-09-30,59,2840,39,1854,18,980,2,6,9,660,50,1088,11,1748,,0,0,28671193
133,All CA Counties,2020-10-01,63,2903,38,1892,22,1002,3,9,30,660,33,1121,33,1781,,0,0,28671193
134,All CA Counties,2020-10-02,31,2934,24,1916,7,1009,0,9,7,643,24,1145,7,1788,,0,0,28671193
135,All CA Counties,2020-10-03,17,2951,7,1923,9,1018,1,10,2,631,15,1160,3,1791,,0,0,28671193
136,All CA Counties,2020-10-04,2,2953,2,1925,0,1018,0,10,2,633,0,1160,2,1793,,0,0,28671193
137,All CA Counties,2020-10-05,29,2982,21,1946,8,1026,0,10,11,628,16,1176,11,1804,,0,0,28671193
138,All CA Counties,2020-10-06,37,3019,29,1975,6,1032,2,12,7,607,30,1206,9,1813,,0,0,28671193
139,All CA Counties,2020-10-07,47,3066,22,1997,22,1054,3,15,8,579,39,1245,11,1824,,0,0,28671193
140,All CA Counties,2020-10-08,43,3109,30,2027,11,1065,2,17,18,574,25,1270,20,1844,,0,0,28671193
141,All CA Counties,2020-10-09,43,3152,23,2050,20,1085,0,17,8,547,35,1305,8,1852,,0,0,28671193
142,All CA Counties,2020-10-10,22,3174,11,2061,5,1090,6,23,7,545,15,1320,13,1865,,0,0,28671193
143,All CA Counties,2020-10-11,6,3180,2,2063,3,1093,1,24,4,548,2,1322,5,1870,,0,0,28671193
144,All CA Counties,2020-10-12,45,3225,32,2095,12,1105,1,25,10,524,35,1357,11,1881,,0,0,28671193
145,All CA Counties,2020-10-13,36,3261,24,2119,12,1117,0,25,8,504,28,1385,8,1889,,0,0,28671193
146,All CA Counties,2020-10-14,39,3300,25,2144,13,1130,1,26,12,490,27,1412,13,1902,,0,0,28671193
147,All CA Counties,2020-10-15,35,3335,25,2169,9,1139,1,27,16,489,18,1430,17,1919,,0,0,28671193
148,All CA Counties,2020-10-16,35,3370,24,2193,10,1149,1,28,17,489,18,1448,18,1937,,0,0,28671193
149,All CA Counties,2020-10-17,10,3380,7,2200,3,1152,0,28,5,489,5,1453,5,1942,,0,0,28671193
150,All CA Counties,2020-10-18,7,3387,7,2207,0,1152,0,28,7,496,0,1453,7,1949,,0,0,28671193
151,All CA Counties,2020-10-19,36,3423,27,2234,7,1159,2,30,27,516,9,1462,29,1978,,0,0,28671193
152,All CA Counties,2020-10-20,23,3446,8,2242,15,1174,0,30,19,531,4,1466,19,1997,,0,0,28671193
153,All CA Counties,2020-10-21,42,3488,31,2273,9,1183,2,32,30,553,9,1475,31,2028,,0,0,28671193
154,All CA Counties,2020-10-22,22,3510,17,2290,5,1188,0,32,19,569,3,1478,19,2047,,0,0,28671193
155,All CA Counties,2020-10-23,29,3539,14,2304,15,1203,0,32,22,584,7,1485,22,2069,,0,0,28671193
156,All CA Counties,2020-10-24,15,3554,13,2317,2,1205,0,32,15,599,0,1485,15,2084,,0,0,28671193
157,All CA Counties,2020-10-25,7,3561,3,2320,4,1209,0,32,7,606,0,1485,7,2091,,0,0,28671193
158,All CA Counties,2020-10-26,25,3586,16,2336,7,1216,2,34,19,621,6,1491,21,2112,,0,0,28671193
159,All CA Counties,2020-10-27,24,3610,16,2352,6,1222,2,36,15,630,8,1499,17,2129,,0,0,28671193
160,All CA Counties,2020-10-28,16,3626,5,2357,11,1233,0,36,14,642,2,1501,14,2143,,0,0,28671193
161,All CA Counties,2020-10-29,16,3642,9,2366,6,1239,1,37,11,650,4,1505,12,2155,,0,0,28671193
162,All CA Counties,2020-10-30,20,3662,10,2376,9,1248,1,38,9,649,11,1516,10,2165,,0,0,28671193
163,All CA Counties,2020-10-31,11,3673,4,2380,2,1250,5,43,5,653,6,1522,10,2175,,0,0,28671193
164,All CA Counties,2020-11-01,47,3720,26,2406,13,1263,8,51,34,682,13,1535,42,2217,,0,0,28671193
165,All CA Counties,2020-11-02,33,3753,14,2420,13,1276,6,57,21,697,12,1547,27,2244,,0,0,28671193
166,All CA Counties,2020-11-03,17,3770,6,2426,7,1283,4,61,10,704,7,1554,14,2258,,0,0,28671193
167,All CA Counties,2020-11-04,31,3801,12,2438,8,1291,11,72,12,708,19,1573,23,2281,,0,0,28671193
168,All CA Counties,2020-11-05,74,3875,46,2484,22,1313,6,78,61,762,13,1586,67,2348,,0,0,28671193
169,All CA Counties,2020-11-06,8,3883,3,2487,2,1315,3,81,3,763,5,1591,6,2354,,0,0,28671193
170,All CA Counties,2020-11-07,4,3887,3,2490,0,1315,1,82,1,762,3,1594,2,2356,,0,0,28671193
171,All CA Counties,2020-11-08,6,3893,3,2493,2,1317,1,83,5,767,1,1595,6,2362,,0,0,28671193
172,All CA Counties,2020-11-09,19,3912,9,2502,7,1324,3,86,5,761,14,1609,8,2370,,0,0,28671193
173,All CA Counties,2020-11-10,32,3944,13,2515,9,1333,10,96,14,767,18,1627,24,2394,,0,0,28671193
174,All CA Counties,2020-11-11,51,3995,35,2550,9,1342,7,103,20,763,31,1658,27,2421,,0,0,28671193
175,All CA Counties,2020-11-12,28,4023,10,2560,7,1349,11,114,4,754,23,1681,14,2435,,0,0,28671193
176,All CA Counties,2020-11-13,45,4068,22,2582,4,1353,19,133,10,748,35,1716,29,2464,,0,0,28671193
177,All CA Counties,2020-11-14,21,4089,8,2590,2,1355,11,144,6,750,15,1731,17,2481,,0,0,28671193
178,All CA Counties,2020-11-15,23,4112,6,2596,7,1362,10,154,13,763,10,1741,23,2504,,0,0,28671193
179,All CA Counties,2020-11-16,41,4153,15,2611,10,1372,16,170,16,770,25,1766,32,2536,,0,0,28671193
